,time_to_equilibrium,mean_happiness_checking_duration,mean_number_of_unhappy,median_number_of_unhappy,variance_of_unhappy_numbers,entropy_of_table_population,average_minority_percent,inter_table_variance_in_minority_percentages
197,99,9.001731872558594e-05,10.0,10.0,101.01010101010101,1.4964159349401391,0.23714285714285716,0.04208979591836735
198,99,6.0145854949951174e-05,10.0,10.0,101.01010101010101,1.5113949670044375,0.25,0.022000000000000002
199,99,5.9986114501953124e-05,10.0,10.0,101.01010101010101,1.3762266043445461,,
200,99,6.984472274780273e-05,10.0,10.0,101.01010101010101,1.487798380001651,0.24166666666666664,0.04194444444444444
201,99,3.998517990112305e-05,10.0,10.0,101.01010101010101,1.458174899361326,0.27166666666666667,0.033544444444444446
202,99,9.992122650146484e-06,10.0,10.0,101.01010101010101,1.4475521940157818,0.19047619047619047,0.024489795918367342
203,99,3.9968490600585934e-05,10.0,10.0,101.01010101010101,1.3535252706084164,,
204,99,2.9935836791992188e-05,10.0,10.0,101.01010101010101,1.5260394155804642,0.27380952380952384,0.026077097505668934
205,99,0.0,10.0,10.0,101.01010101010101,1.596804335473315,0.19,0.0344
206,99,3.9992332458496096e-05,10.0,10.0,101.01010101010101,1.256597943527338,0.15238095238095237,0.03573696145124717
207,99,5.950212478637695e-05,10.0,10.0,101.01010101010101,1.5968043354733152,0.3466666666666667,0.009044444444444445
208,99,2.999544143676758e-05,10.0,10.0,101.01010101010101,1.5841707585125298,0.21333333333333332,0.014933333333333331
209,99,7.992982864379883e-05,10.0,10.0,101.01010101010101,1.5260394155804642,0.3071428571428571,0.03448979591836735
210,99,2.998828887939453e-05,10.0,10.0,101.01010101010101,1.4263010621165086,0.2833333333333333,0.026666666666666665
211,99,3.992557525634766e-05,10.0,10.0,101.01010101010101,1.4828871047126972,0.33571428571428574,0.03653061224489796
212,99,2.9993057250976562e-05,10.0,10.0,101.01010101010101,1.5013272102290933,0.2966666666666667,0.02871111111111111
213,99,3.9992332458496096e-05,10.0,10.0,101.01010101010101,1.501327210229093,0.2966666666666667,0.02871111111111111
214,99,3.999948501586914e-05,10.0,10.0,101.01010101010101,1.3563362969912938,0.24285714285714283,0.04408163265306122
215,99,5.000591278076172e-05,10.0,10.0,101.01010101010101,1.5047882836811908,0.26666666666666666,0.05111111111111112
216,99,3.999948501586914e-05,10.0,10.0,101.01010101010101,1.392321254757429,0.3416666666666667,0.03361111111111111
217,99,4.0001869201660157e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.24666666666666667,0.04337777777777778
218,99,5.9995651245117184e-05,10.0,10.0,101.01010101010101,1.392321254757429,0.3083333333333333,0.027499999999999997
219,99,5.9978961944580076e-05,10.0,10.0,101.01010101010101,1.4877983800016508,0.31666666666666665,0.034444444444444444
220,99,1.9991397857666014e-05,10.0,10.0,101.01010101010101,1.5260394155804642,0.4023809523809524,0.009546485260770975
221,99,1.9996166229248048e-05,10.0,10.0,101.01010101010101,1.5741030017371853,0.2333333333333333,0.015000000000000003
